horizonte_sem,representation_mode,feature_name,block,definition,formula_or_procedure,source,temporal_availability,leakage_note,substantive_intuition,source_run_ids
3,expanded,rep_pred_range_all,desacuerdo_modelos,Rango entre maxima y minima prediccion archivada,max(preds)-min(preds),"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean",prediccion_archivada_temporalmente_valida,Sin uso del target futuro,Mide dispersion extrema entre familias,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
3,expanded,rep_delta_mean_all,consenso_modelos,Promedio del delta sugerido por todas las bases,mean(pred_i - y_t),"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean",prediccion_archivada_temporalmente_valida,Deriva solo de predicciones archivadas y del valor actual,Sintetiza el movimiento promedio sugerido por las bases,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
3,expanded,rep_delta_std_all,desacuerdo_modelos,Dispersion del delta sugerido por todas las bases,std(pred_i - y_t),"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean",prediccion_archivada_temporalmente_valida,No usa y futuro,Cuantifica conflicto direccional y de magnitud entre bases,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
3,expanded,rep_fall_share_all,consenso_modelos,Proporcion de bases que sugieren caida,mean((pred_i - y_t) <= 0),"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean",prediccion_archivada_temporalmente_valida,Usa solo predicciones historicas y el valor actual,Proxy simple de consenso bajista entre familias,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
3,expanded,rep_direction_consensus_mean,consenso_modelos,Promedio del signo del movimiento sugerido por las bases,mean(sign(pred_i - y_t)),"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean",prediccion_archivada_temporalmente_valida,Se construye solo con informacion observable en t,Resume el consenso direccional agregado,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
3,expanded,rep_pred_mean_nonlinear_tabular,consenso_modelos,Promedio de las bases tabulares no lineales E3 y E5,"mean(pred_E3, pred_E5)","E3_v2_clean,E5_v4_clean",prediccion_archivada_temporalmente_valida,Solo usa predicciones historicas del mismo horizonte,Resumen del bloque no lineal tabular,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
3,expanded,rep_spread_linear_vs_nonlinear,desacuerdo_modelos,Diferencia entre el ancla lineal y el promedio no lineal tabular,rep_pred_e1_v5_clean - rep_pred_mean_nonlinear_tabular,"E1_v5_clean,E3_v2_clean,E5_v4_clean",prediccion_archivada_temporalmente_valida,Se construye solo con predicciones historicas ya disponibles,Mide desacuerdo estructural entre lectura lineal y no lineal,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
3,expanded,rep_spread_temporal_vs_tabular,desacuerdo_modelos,Diferencia entre la base temporal y el promedio tabular no lineal,"rep_pred_e7_v3_clean - mean(pred_E3, pred_E5)","E7_v3_clean,E3_v2_clean,E5_v4_clean",prediccion_archivada_temporalmente_valida,No usa ningun target futuro,Captura conflicto entre estructura temporal y tabular,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
3,expanded,reg_obs_delta_lag1,regimen_observable,Cambio observado mas reciente del target,y_t - y_t_lag1,dataset maestro,observable_en_t,Usa solo y_t y lags historicos del target,Captura arranque o desaceleracion inmediata,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
3,expanded,reg_obs_delta_lag2,regimen_observable,Cambio observado dos pasos atras,y_t_lag1 - y_t_lag2,dataset maestro,observable_en_t,Usa solo historial del target,Captura persistencia reciente del movimiento,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
3,expanded,reg_obs_delta_lag3,regimen_observable,Cambio observado tres pasos atras,y_t_lag2 - y_t_lag3,dataset maestro,observable_en_t,Usa solo historial del target,Captura continuidad o reversa de la trayectoria reciente,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
3,expanded,reg_obs_delta_mean_w3,regimen_observable,Promedio reciente de cambios observados,"mean(delta_lag1, delta_lag2, delta_lag3)",dataset maestro,observable_en_t,Resume solo cambios ya observados,Resume momentum local,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
3,expanded,reg_obs_abs_delta_mean_w3,regimen_observable,Magnitud tipica reciente del cambio observado,"mean(abs(delta_lag1), abs(delta_lag2), abs(delta_lag3))",dataset maestro,observable_en_t,Usa solo historia del target,Aproxima volatilidad local util para arranques de horizonte,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
3,expanded,reg_obs_delta_std_w3,regimen_observable,Dispersion reciente del cambio observado,"std(delta_lag1, delta_lag2, delta_lag3)",dataset maestro,observable_en_t,No usa ningun valor futuro,Mide estabilidad o cambio de regimen,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
3,expanded,reg_obs_streak_signed_w3,regimen_observable,Suma de signos de los tres cambios observados mas recientes,sign(delta_lag1)+sign(delta_lag2)+sign(delta_lag3),dataset maestro,observable_en_t,Se calcula solo con historial disponible,Resume racha reciente de subidas o bajas,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
